Listing ID,Listing Title,Nightly Price,Listing URL
72689819,"Downtown Studio Apt, near Tufts Med, BMC, MGF",N/A,https://www.vrbo.com/2544106?chkin=2024-04-23&chkout=2024-05-02&d1=2024-04-23&d2=2024-05-02&startDate=2024-04-23&endDate=2024-05-02&x_pwa=1&rfrr=HSR&pwa_ts=1713880413402&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=178239&destination=Boston%2C+Suffolk+County%2C+Massachusetts%2C+United+States+of+America&destType=MARKET&neighborhoodId=800017&latLong=42.359355%2C-71.059785&privacyTrackingState=CAN_TRACK&searchId=d1342ebe-2e4c-4c8d-8838-a3967204a6f2&sort=RECOMMENDED&userIntent=&expediaPropertyId=72689819
83400958,Sonder The Magnolia | Superior Full Suite+,N/A,https://www.vrbo.com/9713905ha?chkin=2024-04-23&chkout=2024-05-02&d1=2024-04-23&d2=2024-05-02&startDate=2024-04-23&endDate=2024-05-02&x_pwa=1&rfrr=HSR&pwa_ts=1713880413402&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=178239&destination=Boston%2C+Suffolk+County%2C+Massachusetts%2C+United+States+of+America&destType=MARKET&neighborhoodId=553248635976471291&latLong=42.359355%2C-71.059785&privacyTrackingState=CAN_TRACK&searchId=d1342ebe-2e4c-4c8d-8838-a3967204a6f2&sort=RECOMMENDED&userIntent=&expediaPropertyId=83400958
92364735,Easy Commute South Boston 4BR/1BTH Apartment,N/A,https://www.vrbo.com/3325146?chkin=2024-04-23&chkout=2024-05-02&d1=2024-04-23&d2=2024-05-02&startDate=2024-04-23&endDate=2024-05-02&x_pwa=1&rfrr=HSR&pwa_ts=1713880413402&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=178239&destination=Boston%2C+Suffolk+County%2C+Massachusetts%2C+United+States+of+America&destType=MARKET&neighborhoodId=553248635976472214&latLong=42.359355%2C-71.059785&privacyTrackingState=CAN_TRACK&searchId=d1342ebe-2e4c-4c8d-8838-a3967204a6f2&sort=RECOMMENDED&userIntent=&expediaPropertyId=92364735
92874661,Renovated Boston Condo | near T,N/A,https://www.vrbo.com/3352763?chkin=2024-04-23&chkout=2024-05-02&d1=2024-04-23&d2=2024-05-02&startDate=2024-04-23&endDate=2024-05-02&x_pwa=1&rfrr=HSR&pwa_ts=1713880413403&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=178239&destination=Boston%2C+Suffolk+County%2C+Massachusetts%2C+United+States+of+America&destType=MARKET&neighborhoodId=553248635976468670&latLong=42.359355%2C-71.059785&privacyTrackingState=CAN_TRACK&searchId=d1342ebe-2e4c-4c8d-8838-a3967204a6f2&sort=RECOMMENDED&userIntent=&expediaPropertyId=92874661
95366504,"Spacious, New Renovation | Near T",N/A,https://www.vrbo.com/3463717?chkin=2024-04-23&chkout=2024-05-02&d1=2024-04-23&d2=2024-05-02&startDate=2024-04-23&endDate=2024-05-02&x_pwa=1&rfrr=HSR&pwa_ts=1713880413402&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=178239&destination=Boston%2C+Suffolk+County%2C+Massachusetts%2C+United+States+of+America&destType=MARKET&neighborhoodId=553248635976470711&latLong=42.359355%2C-71.059785&privacyTrackingState=CAN_TRACK&searchId=d1342ebe-2e4c-4c8d-8838-a3967204a6f2&sort=RECOMMENDED&userIntent=&expediaPropertyId=95366504
70874583,Relax in Between Adventures! Pet-friendly Property!,N/A,https://www.vrbo.com/2447732?chkin=2024-04-23&chkout=2024-05-02&d1=2024-04-23&d2=2024-05-02&startDate=2024-04-23&endDate=2024-05-02&x_pwa=1&rfrr=HSR&pwa_ts=1713880413402&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=178239&destination=Boston%2C+Suffolk+County%2C+Massachusetts%2C+United+States+of+America&destType=MARKET&neighborhoodId=553248635976481994&latLong=42.359355%2C-71.059785&privacyTrackingState=CAN_TRACK&searchId=d1342ebe-2e4c-4c8d-8838-a3967204a6f2&sort=RECOMMENDED&userIntent=&expediaPropertyId=70874583
72121306,No. 284 powered by Sonder | Ground-Level Queen Room,N/A,https://www.vrbo.com/9621837ha?chkin=2024-04-23&chkout=2024-05-02&d1=2024-04-23&d2=2024-05-02&startDate=2024-04-23&endDate=2024-05-02&x_pwa=1&rfrr=HSR&pwa_ts=1713880413402&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=178239&destination=Boston%2C+Suffolk+County%2C+Massachusetts%2C+United+States+of+America&destType=MARKET&neighborhoodId=553248635976473926&latLong=42.359355%2C-71.059785&privacyTrackingState=CAN_TRACK&searchId=d1342ebe-2e4c-4c8d-8838-a3967204a6f2&sort=RECOMMENDED&userIntent=&expediaPropertyId=72121306
70874576,Haven in The Heart of Boston! Pet-friendly Property!,N/A,https://www.vrbo.com/2447730?chkin=2024-04-23&chkout=2024-05-02&d1=2024-04-23&d2=2024-05-02&startDate=2024-04-23&endDate=2024-05-02&x_pwa=1&rfrr=HSR&pwa_ts=1713880413407&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=178239&destination=Boston%2C+Suffolk+County%2C+Massachusetts%2C+United+States+of+America&destType=MARKET&neighborhoodId=553248635976481994&latLong=42.359355%2C-71.059785&privacyTrackingState=CAN_TRACK&searchId=d1342ebe-2e4c-4c8d-8838-a3967204a6f2&sort=RECOMMENDED&userIntent=&expediaPropertyId=70874576
70043003,History And Culture Are At Your Doorstep! Pet-friendly Property!,N/A,https://www.vrbo.com/2409505?chkin=2024-04-23&chkout=2024-05-02&d1=2024-04-23&d2=2024-05-02&startDate=2024-04-23&endDate=2024-05-02&x_pwa=1&rfrr=HSR&pwa_ts=1713880413407&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=178239&destination=Boston%2C+Suffolk+County%2C+Massachusetts%2C+United+States+of+America&destType=MARKET&neighborhoodId=553248635976481994&latLong=42.359355%2C-71.059785&privacyTrackingState=CAN_TRACK&searchId=d1342ebe-2e4c-4c8d-8838-a3967204a6f2&sort=RECOMMENDED&userIntent=&expediaPropertyId=70043003
70043008,Indulge in Home-Like Comfort! Pet-friendly Property!,N/A,https://www.vrbo.com/2409506?chkin=2024-04-23&chkout=2024-05-02&d1=2024-04-23&d2=2024-05-02&startDate=2024-04-23&endDate=2024-05-02&x_pwa=1&rfrr=HSR&pwa_ts=1713880413407&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=178239&destination=Boston%2C+Suffolk+County%2C+Massachusetts%2C+United+States+of+America&destType=MARKET&neighborhoodId=553248635976481994&latLong=42.359355%2C-71.059785&privacyTrackingState=CAN_TRACK&searchId=d1342ebe-2e4c-4c8d-8838-a3967204a6f2&sort=RECOMMENDED&userIntent=&expediaPropertyId=70043008
